Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Jonson, Ben",http://viaf.org/viaf/292789691,M,Reino Unido,1572,1637
"Jordà, Josep M.",http://viaf.org/viaf/269125362,M,España,1870,1936
"Jordán, Luis María",http://viaf.org/viaf/309573591,M,Argentina,1883,1933
"Jorreto Paniagua, Manuel",http://viaf.org/viaf/100257849,M,España,1845,NA
"Jorrín, José Silverio",http://viaf.org/viaf/87103640,M,Cuba,1816,1897
"Jos, Emiliano",http://viaf.org/viaf/19712926,M,España,1897,1961
"Josz, Virgile",http://viaf.org/viaf/222449747,M,Francia,1859,1904
"Jove y Hevia, Plácido de",http://viaf.org/viaf/88009746,M,España,1823,1909
"Joyce, James",http://viaf.org/viaf/44300643,M,Irlanda,1882,1941
"Juana Inés de La Cruz, sor",http://viaf.org/viaf/88633360,F,México,1651,1695
"Juanes González Gutiérrez, Fernando",http://www.elem.mx/autor/datos/3061,M,México,1857,1900
"Jung, Carl Gustav",http://viaf.org/viaf/88819182,M,Suiza,1875,1961
"Jurado de la Parra, José",http://viaf.org/viaf/9466377,M,España,1856,1943
"Justo, Juan Bautista",http://viaf.org/viaf/32099210,M,Argentina,1865,1928
"Kahn, Máximo José",http://viaf.org/viaf/11377917,M,España,1897,1953
"Karam, Francisco",http://viaf.org/viaf/216323943,M,NA,1902,1962
"Karr, Alphonse",http://viaf.org/viaf/17224681,M,Francia,1808,1890
"Kaufmann, Boris",http://viaf.org/viaf/67509849,M,NA,1904,1940
"Keaton, Buster",http://viaf.org/viaf/66477478,M,Estados Unidos,1895,1966
"Kelk, Cornelius Jan",http://viaf.org/viaf/67477487,M,Países Bajos,1901,1981
"Keller Sarmiento, Eduardo",http://www.cervantesvirtual.com/obra-visor/exposicion-de-la-actual-poesia-argentina-1922-1927/html/ff3aeef8-82b1-11df-acc7-002185ce6064_6.html#I_212_,M,Argentina,1900,NA
"Kent, Rockwell",http://viaf.org/viaf/24685053,M,Estados Unidos,1882,1971
"Keymer, Carlos E.",http://viaf.org/viaf/94145856971922920876,M,Chile,1878,1949
"Keyserling, Hermann",http://viaf.org/viaf/34458713,M,Alemania,1880,1946
"Khayyam, Omar",http://viaf.org/viaf/100210377,M,Irán,1048,1131
"Kipling, Rudyard",http://viaf.org/viaf/7524679,M,Reino Unido,1865,1936
"Kirschbaum, Manuel",http://www.linardiyrisso.com/antiguos/historia/291_LITERATURA_ARGENTINA.pdf,M,Argentina,NA,NA
"Kitagawa, Tamiji",http://viaf.org/viaf/8771845,M,Japón,1894,1989
"Klemm, Wilhelm",http://viaf.org/viaf/120783691,M,Alemania,1881,1968
"Klimovsky, León",http://viaf.org/viaf/22271228,M,Argentina,1906,1996
"Klimt, Gustav",http://viaf.org/viaf/7399081,M,Austria,1862,1918
"Knut-Ekwall de Ullman, Thyra",http://www.artnet.de/k%C3%BCnstler/thyra-knut-ekwall-de-ullman/,F,Suecia,1881,NA
"Kol'cov, Mihail Efimovic",http://viaf.org/viaf/47559555,M,Rusia,1898,1940
"Körmendi, Ferenc",http://viaf.org/viaf/41989715,M,Hungría,1900,1972
"Korn Villafañe, Adolfo",http://viaf.org/viaf/6156809346945121019,M,Argentina,1894,1959
"Korn, Guillermo",http://viaf.org/viaf/5156809429245121078,M,Argentina,1902,1980
"Korolev, Boris Danilovic",http://viaf.org/viaf/35256605,M,Rusia,1885,1963
"Kremlicka, Rudolf",http://viaf.org/viaf/55315705,M,República Checa,1886,1932
"Krestovskaia, Lidía Aleksandrovna",http://viaf.org/viaf/162665916,F,Rusia,1889,1957
"Krishnamurti, Jiddu",http://viaf.org/viaf/105950421,M,India,1895,1986
"Kropotkin, Petr Alekseevic",http://viaf.org/viaf/66469467,M,Rusia,1842,1921
"Krummacher, Friedrich Wilhelm",http://viaf.org/viaf/310528071,M,Alemania,1796,1868
"Krysinska, Marie",http://viaf.org/viaf/64130326,F,Polonia,1857,1908
"Kubly, Enrique","https://viaf.org/viaf/66197052/#Kubly_Arteaga,_Enrique,_1855-1904",M,Uruguay,1855,1904
"Kuniyoshi, Yasuo",http://viaf.org/viaf/13102247,M,Estados Unidos,1889,1953
"L'Herbier, Marcel",http://viaf.org/viaf/28422344,M,Francia,1888,1979
"L'Heureux, Marcel",http://viaf.org/viaf/84101669,M,Francia,1865,NA
"La Gandara, Antonio de",http://viaf.org/viaf/76572966,M,Francia,1861,1917
"La Jeunesse, Ernest",http://viaf.org/viaf/4971332,M,Francia,1874,1917
"La Rochefoucauld, François de",http://viaf.org/viaf/46763296,M,Francia,1613,1680
"Labarca Huberson, Amanda",http://viaf.org/viaf/65467457,F,Chile,1886,1975
"Laborde, Guillermo",http://viaf.org/viaf/96549959,M,Uruguay,1886,1940
"Laboulaye, Édouard",http://viaf.org/viaf/4992487,M,Francia,1811,1883
"Labra, Rafael M. de",http://viaf.org/viaf/22275246,M,España,1841,1918
"Labriola, Arturo",http://viaf.org/viaf/22203682,M,Italia,1874,1959
"Lacasa Navarro, Luis",http://viaf.org/viaf/68809937,M,España,1899,1966
"Lacaze-Duthiers, Gérard de",http://viaf.org/viaf/112099533,M,Francia,1876,1958
"Lacomba, Juan",http://viaf.org/viaf/86767778,M,España,1900,1963
"Laferrère, Alfonso de",http://viaf.org/viaf/38554260,M,Argentina,1893,1978
"Laffón, Rafael",http://viaf.org/viaf/32997276,M,España,1900,1978
"Laforge, Jules",http://viaf.org/viaf/34458905,M,Francia,1860,1887
"Laforgue, Jules","http://viaf.org/viaf/34458905/#Laforgue,_Jules,_1860-1887",M,Francia,1860,1887
"Lafuente, Enrique",http://viaf.org/viaf/61547978,M,España,1898,1985
"Lagerkvist, Pär",http://viaf.org/viaf/64007846,M,Suecia,1891,1974
"Lagerlöf, Selma",http://viaf.org/viaf/7392519,F,Suecia,1858,1940
"Lago, Tomás",http://viaf.org/viaf/107546005,M,Chile,1903,1975
"Laguado Jayme, Francis",https://books.google.de/books?id=B7hTDwAAQBAJ&pg=PA365&lpg=PA365&dq=Francis+Laguado+Jayme+venezolano&source=bl&ots=LrON2LzYbv&sig=ACfU3U2JXItOElrcRG5bA4nv5fFf6caVdg&hl=de&sa=X&ved=2ahUKEwjk1N-2ofbmAhXFy6QKHe3sB_AQ6AEwDHoECAgQAQ#v=onepage&q=Francis%20Laguado%20Jayme%20venezolano&f=false,M,Venezuela,1899,1929
"Laguardia, Adda",https://articulo.mercadolibre.com.uy/MLU-444830910-1926-mujeres-del-uruguay-adda-laguardia-alas-tempranas-raro-_JM,F,Uruguay,1903,NA
"Lagut, Irène",http://viaf.org/viaf/7508958,F,Francia,1893,1994
"Lahuerta, Genaro",http://viaf.org/viaf/16091263,M,España,1905,1985
"Lamar-Schweyer, Alberto",http://viaf.org/viaf/75964968,M,Cuba,1902,1942
"Lamarque, Nydia",http://viaf.org/viaf/76075024,F,Argentina,1906,1982
"Lamartine, Alphonse de",http://viaf.org/viaf/95150108,M,Francia,1790,1869
"Lamas, Maria",http://viaf.org/viaf/67577220,F,Portugal,1893,1983
"Landry, Lionel",http://viaf.org/viaf/76445448,M,Francia,1875,1935
"Lane, Franklin K.","https://viaf.org/viaf/18703397/#Lane,_Franklin_1864-1921",M,Estados Unidos,1864,1921
"Lange, Norah",http://viaf.org/viaf/97987063,F,Argentina,1905,1972
"Lano, Pierre de",http://viaf.org/viaf/89169238,M,Francia,1859,1904
"Lanti, Eugène","https://viaf.org/viaf/27112355/#Lanti,_Eug%C3%A8ne_(1879-1947).",M,NA,1879,1947
"Lanuza, José Luis",http://viaf.org/viaf/234675015,M,Argentina,1903,1976
"Lanza, Silverio",http://viaf.org/viaf/24624818,M,España,1856,1912
"Lapaire, Hugues",http://viaf.org/viaf/19831469,M,Francia,1869,1967
"Laparcerie-Richepin, Cora",http://viaf.org/viaf/27205991,F,Francia,1875,1951
"Lapoulide, Juan Lorenzo",http://viaf.org/viaf/315088526,M,NA,NA,1906
"Larbaud, Valéry",http://viaf.org/viaf/13334,M,Francia,1881,1957
"Larrañaga Portugal, Manuel",http://viaf.org/viaf/1928145856922922920250,M,México,1868,1919
"Larrea, Francisco",http://viaf.org/viaf/87084840,M,NA,1855,1913
"Larrea, Juan",http://viaf.org/viaf/41854551,M,España,1895,1980
"Larrubiera, Alejandro",http://viaf.org/viaf/4505897,M,España,1869,1937
"Larsson, Hans",http://viaf.org/viaf/56757775,M,Suecia,1862,1944
"Las Heras, Dionisio de",http://viaf.org/viaf/87752609,M,NA,NA,NA
"Lascano Tegui, Vizconde de",http://viaf.org/viaf/1124151246658744132401,M,Argentina,1877,1966
"Lasplaces, Alberto",http://viaf.org/viaf/88521863,M,Uruguay,1887,1950
"Lassala, Manuel",http://viaf.org/viaf/184152636063320050938,M,España,1729,1806
"Lassalle, José",http://viaf.org/viaf/87216972,M,España,1874,1932
"Lasso de la Vega y Jiméne-Placer, Javier",http://viaf.org/viaf/72639053,M,España,1892,1990
"Lasso de la Vega, Leoncio",http://viaf.org/viaf/305453596,M,España,1862,1915
"Lasso de la Vega, Rafael",http://viaf.org/viaf/4275824,M,España,1890,1959
"Latcham, Ricardo Antonio",http://viaf.org/viaf/71417540,M,Chile,1903,1965
"Laterrade, Alexandre",https://fr.wikipedia.org/wiki/Alexandre_Laterrade,M,Francia,1823,1912
"Latorre, Roberto",https://es.wikipedia.org/wiki/Roberto_Latorre,M,Perú,1897,1949
"Laurencin, Marie",http://viaf.org/viaf/122131844,F,Francia,1883,1956
"Laurent y Minier, Jean",http://viaf.org/viaf/56885453,M,Francia,1816,1886
"Lavedan, Henri",http://viaf.org/viaf/39479635,M,Francia,1859,1940
"Lawrence, David Herbert",http://viaf.org/viaf/95150359,M,Reino Unido,1885,1930
"Lazarev, Petr Petrovic",http://viaf.org/viaf/84832916,M,Rusia,1878,1942
"Lazarte, Juan",http://viaf.org/viaf/14482230,M,Argentina,1891,1963
"Lazo, Agustín",http://viaf.org/viaf/96559652,M,México,1896,1971
"Le Clercq, Jacques",http://viaf.org/viaf/50885638,M,Francia,1898,1972
"Le Moyne d'Iberville, Pierre",http://viaf.org/viaf/7399987,M,Canadá,1661,1706
"Le Roux, Robert Charles Henri",http://viaf.org/viaf/59209124,M,Francia,1860,1925
"Le-Roy y Cassá, Jorge",http://viaf.org/viaf/67818405,M,Cuba,1867,1934
"Leal da Câmara,Tomás Júlio",http://viaf.org/viaf/29804632,M,Portugal,1876,1948
"Leal, Fernando",http://viaf.org/viaf/61084903,M,México,1896,1964
"Leblanc, Félix",http://viaf.org/viaf/310527739,M,Francia,1823,NA
"Leblanc, Maurice",http://viaf.org/viaf/22144617,M,Francia,1864,1941
"Leconte de Lisle, Charles-Marie",http://viaf.org/viaf/64008239,M,Francia,1818,1894
"Lecour, Lola",https://autores.uy/autor/1660,F,Uruguay,1906,1985
"Ledesma Miranda, Ramón",http://viaf.org/viaf/48936190,M,España,1901,1963
"Ledesma Ramos, Ramiro",http://viaf.org/viaf/69057729,M,España,1905,1936
"Ledesma, Roberto",http://viaf.org/viaf/311228973,M,Argentina,1901,1966
"Leduc, Alberto",http://viaf.org/viaf/14789668,M,México,1867,1908
"Leduc, Renato",http://viaf.org/viaf/56612629,M,México,1897,1986
"Lefèvre, Frédéric",http://viaf.org/viaf/27105981,M,Francia,1889,1949
"Lega, Achille",http://viaf.org/viaf/15596814,M,Italia,1899,1934
"Leger, Alexis",https://viaf.org/viaf/88804613,M,Francia,1887,1975
"Léger, Fernand",http://viaf.org/viaf/34459370,M,Francia,1881,1955
"Leguía, Augusto Bernardino",http://viaf.org/viaf/8221314,M,Cuba,1863,1932
"Lehmbruck, Wilhelm",http://viaf.org/viaf/32269139,M,Alemania,1881,1919
"Leitón, Roberto",http://viaf.org/viaf/22031622,M,Bolivia,1903,1999
"Lemaître, Jules",http://viaf.org/viaf/56625290,M,Francia,1853,1914
Lempicka,http://viaf.org/viaf/66489937,F,Polonia,1898,1980
"Leni, Paul",http://viaf.org/viaf/74027657,M,Alemania,1885,1929
"Lenin, Vladimir Il'ic",http://viaf.org/viaf/7393146,M,Rusia,1870,1924
"Lenôtre, Georges",http://viaf.org/viaf/100168737,M,Francia,1855,1935
"Lentulov, Aristarkh Vasil'evich",http://viaf.org/viaf/40178971,M,Rusia,1882,1943
"Lenzi, Renato",http://www.fondation-besnard.org/IMG/pdf/dominguez_rubio_-_el_anarquismo_argentino.pdf,M,Argentina,NA,NA
"León, Félix de",http://viaf.org/viaf/64293655,M,España,1790,1854
"León, Luis de",http://viaf.org/viaf/7393179,M,España,1527,1591
"León, María Teresa",http://viaf.org/viaf/66479739,F,España,1903,1988
"León, Miguel Angel",http://viaf.org/viaf/210052005,M,Ecuador,1900,1942
"Leonardo de Argensola, Bartolomé",http://viaf.org/viaf/54214790,M,España,1562,1631
"Leoni Otero, Raúl",http://viaf.org/viaf/118682158,M,Venezuela,1905,1972
"Leopardi, Giacomo",http://viaf.org/viaf/12311353,M,Italia,1798,1837
"Leroy, Maxime","https://viaf.org/viaf/29536928/#Leroy,_Maxime,_1873-1957",M,Francia,1873,1957
"Lescano Abella, Mario",https://books.google.de/books?id=JjCIAwAAQBAJ&pg=PA151&lpg=PA151&dq=Mario+Lescano+Abella&source=bl&ots=I4GAXXTLZA&sig=ACfU3U3HINy-ISOY8Gd0cwtj0yV8NOCiLQ&hl=de&sa=X&ved=2ahUKEwil-vvj4LXnAhVL2KQKHZJUA5IQ6AEwBXoECAsQAQ#v=onepage&q=Mario%20Lescano%20Abella&f=false,M,NA,NA,NA
"Leval, Gastón",http://viaf.org/viaf/29536992,M,Francia,1895,1978
"Levasti, Arrigo",http://viaf.org/viaf/94673566,M,Italia,1886,1973
"Lèvevre, Paul",http://viaf.org/viaf/9846639,M,Francia,1885,1983
"Levi, Ezio",http://viaf.org/viaf/37008343,M,Italia,1884,1941
"Lévy, Arthur",http://viaf.org/viaf/76692232,M,Francia,1847,1931
"Lévy, Sam",http://viaf.org/viaf/12556737,M,Francia,1870,1959
"Lewisohn, Ludwig",http://viaf.org/viaf/44380209,M,Estados Unidos,1882,1955
"Leyda, Rafael",http://viaf.org/viaf/39041954,M,España,1870,1916
"Leyva, Nicolás de",http://viaf.org/viaf/315088527,M,España,NA,1906
"Lhermitte, Léon Augustin",http://viaf.org/viaf/76373099,M,Francia,1844,1925
"Lhote, André",http://viaf.org/viaf/71528345,M,Francia,1885,1962
"Liacho, Lazaro",https://www.geni.com/people/Lazaro-Liacho/6000000024157329353,M,Argentina,1897,1969
"Lickefett y English, Carlos",http://viaf.org/viaf/87089896,M,España,NA,NA
"Liebknecht, Karl",http://viaf.org/viaf/27067725,M,Alemania,1871,1919
"Lillo, Samuel A.",http://viaf.org/viaf/7542321,M,Chile,1870,1958
"Lima, Jorge de",http://viaf.org/viaf/99412444,M,Brasil,1893,1953
"Lima, Oliveira",http://viaf.org/viaf/39419565,M,Brasil,1867,1928
"Lima, Polita de",https://es.wikipedia.org/wiki/Polita_de_Lima,F,Venezuela,1869,1944
"Linares Rivas, Manuel",http://viaf.org/viaf/7569349,M,España,1867,1938
"Lindenlaub, Th.",http://viaf.org/viaf/31985625,M,Francia,NA,NA
"Liniers, Jacques de",http://viaf.org/viaf/121792785,M,Francia,1753,1810
"Linze, Georges",http://viaf.org/viaf/110390431,M,Bélgica,1900,1993
"Lionnet, Jean",https://data.bnf.fr/fr/13485995/jean_lionnet/,M,Francia,1872,1910
"Liost, Guerau de",http://viaf.org/viaf/106979496,M,España,1878,1933
"Lipchitz, Jacques",http://viaf.org/viaf/17231680,M,Francia,1891,1973
"Lippi, Filippo",http://viaf.org/viaf/88683746,M,Italia,1406,1469
"Lira, Pedro",http://viaf.org/viaf/78906087,M,Chile,1845,1912
"Lissauer, Ernst",http://viaf.org/viaf/5189651,M,Alemania,1882,1937
"List Arzubide, Armando","https://viaf.org/viaf/26263929/#List_Arzubide,_Armando",M,NA,NA,NA
"List Arzubide, Germán",http://viaf.org/viaf/79474909,M,México,1898,1998
"Lista, Alberto",http://viaf.org/viaf/37169906,M,España,1775,1848
"Litvinov, Maksim Maksimovic",http://viaf.org/viaf/12366644,M,Polonia,1876,1951
"Lizaso, Félix",http://viaf.org/viaf/1589960,M,Cuba,1891,1967
"Llanas Aguilaniedo, José María",http://viaf.org/viaf/17329907,M,España,1875,1921
"Llaneces, José",http://viaf.org/viaf/95917202,M,España,1863,1919
"Llano Persi, Manuel de",http://viaf.org/viaf/313411585,M,España,1826,1907
"Llatas, Rosend",http://viaf.org/viaf/51817973,M,España,1899,1973
"Lles y Berdayes, Fernando",http://viaf.org/viaf/21970845,M,Cuba,1883,1949
"Llimona, Josep",http://viaf.org/viaf/33129221,M,España,1864,1934
"Llinás Vilanova, Manuel",https://books.google.de/books?id=w2Z9DwAAQBAJ&pg=PT110&lpg=PT110&dq=manuel+llinas+vilanova&source=bl&ots=tWOAMihipe&sig=ACfU3U3_RUs_mDPMozGEvhqr6_-nIJnMLg&hl=de&sa=X&ved=2ahUKEwjx2KH5mvTmAhXGb1AKHcRgD5IQ6AEwAnoECAcQAQ#v=onepage&q=manuel%20llinas%20vilanova&f=false,M,Argentina,NA,NA
"Llona, Numa P.",http://viaf.org/viaf/16507622,M,Ecuador,1832,1907
"Lloréns Torres, Luis",http://viaf.org/viaf/79400681,M,Puerto Rico,1876,1944
"Llorente Fernández, Ildefonso",http://viaf.org/viaf/100918101,M,España,1836,NA
"Llorente, Teodoro",http://viaf.org/viaf/19994662,M,España,1836,1911
"Llorente, Vicente Daniel",http://148.226.12.161:8080/egvadmin/bin/view/biografia/Llorente%2C+Vicente+Daniel,M,México,1855,NA
"Lluria Despau, Enrique",http://viaf.org/viaf/84825564,M,Cuba,1863,1925
"Lochwizkaja, Nadeschda Alexandrowna",https://de.wikipedia.org/wiki/Nadeschda_Alexandrowna_Lochwizkaja,F,Rusia,1872,1952
"Loma, José de la",http://viaf.org/viaf/86958699,M,NA,1867,1916
"London, Jack","https://viaf.org/viaf/46764200/#London,_Jack,_1876-1916.",M,NA,1876,1916
"Longfellow, Henry Wadsworth",http://viaf.org/viaf/54150826,M,Estados Unidos,1807,1882
"Longuet, Alfonso",https://books.google.de/books?id=4mUuGUk7Y8oC&pg=PA57&lpg=PA57&dq=Alfonso+Longuet+argentino&source=bl&ots=wnuBk_4McZ&sig=ACfU3U2h34RjX3a5DU4H0dAgQccfuWfIJg&hl=de&sa=X&ved=2ahUKEwinnN7QuPbmAhUEsKQKHY0GDmkQ6AEwAHoECAgQAQ#v=onepage&q=Alfonso%20Longuet%20argentino&f=false,M,Argentina,NA,NA
"López Albújar, Enrique",http://viaf.org/viaf/14831049,M,Perú,1872,1966
"López Avellán, José María",https://revistas.upb.edu.co/index.php/upb/article/viewFile/3566/3156,M,España,NA,NA
"López Ballesteros, Luis",http://viaf.org/viaf/35483326,M,Puerto Rico,1869,1933
"López Blanco, Lola",https://books.google.de/books?id=dxz36kM7RsEC&pg=PA207&lpg=PA207&dq=Lola+L%C3%B3pez+Blanco+argentina+director+revista+Mujer&source=bl&ots=cpMuPDB_Y_&sig=ACfU3U2p-BcJ8xoCjJqMof_9qVMwA_wDJg&hl=de&sa=X&ved=2ahUKEwjB8PiMufbmAhXN5KQKHfoQBr8Q6AEwCnoECAoQAQ#v=onepage&q=Lola%20L%C3%B3pez%20Blanco%20argentina%20director%20revista%20Mujer&f=false,F,NA,NA,NA
"López Carvajal, Francisco",http://viaf.org/viaf/33723359,M,NA,NA,NA
"López de Ayala, Adelardo",http://viaf.org/viaf/267848,M,España,1828,1879
"López de Haro, Rafael",http://viaf.org/viaf/79513975,M,España,1876,1967
"López de Mesa, Luis",http://viaf.org/viaf/100202949,M,Colombia,1884,1967
"López de Molina, Juan",https://www.revistas-culturales.de/de/personen-zeitschrift/l%C3%B3pez-de-molina-juan,M,Argentina,NA,NA
"López de Sáa, Leopoldo",http://viaf.org/viaf/73453599,M,España,1870,1936
"López Domínguez, José",http://viaf.org/viaf/27282595,M,España,1829,1911
"López Dorticós, Pedro",http://x.cubarte.cult.cu/es/muere-el-periodista-pedro-l-pez-dortic-s,M,Cuba,1896,1967
"López Ibor, Juan José",http://viaf.org/viaf/31999528,M,España,1906,1991
"López Lapuya, Isidoro",https://es.wikipedia.org/wiki/Isidoro_L%C3%B3pez_Lapuya,M,España,1882,1927
"López Mendez, Luis Alfredo",http://viaf.org/viaf/75065948,M,Venezuela,1901,1996
"López Merino, Francisco",http://viaf.org/viaf/22263915,M,Argentina,1904,1928
"López Montenegro, Ramón",http://viaf.org/viaf/87091177,M,España,1877,1936
"López Muñoz, Antonio",http://viaf.org/viaf/86971700,M,España,1849,1929
"López Penha, Abraham Zacarías",https://d-nb.info/gnd/1211577597,M,Países Bajos,1865,1927
"López Pinillos, José",http://viaf.org/viaf/41882309,M,España,1875,1922
"López Pombo, María Clemencia",https://www.academia.edu/28684709/Mar%C3%ADa_Clemencia_L%C3%B3pez_Pombo_y_Guillermo_de_Torre,F,Argentina,1902,NA
"López Portillo y Rojas, José",http://viaf.org/viaf/29564117,M,México,1850,1923
"López Puigcerver, Joaquín",http://viaf.org/viaf/1145541701496601524,M,España,1845,1906
"López Silva, José",http://viaf.org/viaf/42053062,M,España,1861,1925
"López Velarde, Ramón",http://viaf.org/viaf/68976435,M,México,1888,1921
"López-Chávarri, Eduard",http://viaf.org/viaf/121688387,M,España,1871,1970
"Lopez-Delgado, Felipe",https://es.wikipedia.org/wiki/Felipe_L%C3%B3pez_Delgado,M,España,1902,1981
Lopez-Otero,http://viaf.org/viaf/23245978,M,España,1885,1962
"López-Parra, Ernesto",https://es.wikipedia.org/wiki/Ernesto_L%C3%B3pez-Parra,M,España,1895,1941
"López-Picó, Josep Maria",http://viaf.org/viaf/103646403,M,España,1886,1959
"López-Roberts, Mauricio",http://viaf.org/viaf/17069942,M,España,1873,1940
"López, Juan Aparicio",http://viaf.org/viaf/29227667,M,España,1906,1987
"López, Lucio Vicente",http://viaf.org/viaf/6441813,M,Argentina,1848,1994
"López, Nicolás María",http://viaf.org/viaf/25481896,M,España,1863,1936
"Lora y Lora, José",http://viaf.org/viaf/309912387,M,Perú,1885,1907
"Lora, Juan José",http://viaf.org/viaf/75875635,M,Perú,1902,1961
"Loredo Aparicio, José",http://viaf.org/viaf/168860651,M,México,1897,1948
"Lorenzo Coria, Martín",http://viaf.org/viaf/87091359,M,NA,NA,NA
"Loti, Pierre",http://viaf.org/viaf/89440078,M,Francia,1850,1923
"Louÿs, Pierre",http://viaf.org/viaf/49228364,M,Bélgica,1870,1925
"Loveira, Carlos",http://viaf.org/viaf/52485562,M,Cuba,1882,1928
"Lowell, Amy",http://viaf.org/viaf/32082875,F,Estados Unidos,1874,1925
"Lowell, James Russell",http://viaf.org/viaf/29549920,M,Estados Unidos,1819,1891
"Loy, Ramón",http://viaf.org/viaf/310565036,M,Cuba,1894,1986
"Loynaz, Enrique",http://viaf.org/viaf/46302108,M,Cuba,1904,1968
"Lozano, Rafael",http://www.elem.mx/autor/datos/4301,M,México,1899,NA
"Luaces, Joaquín Lorenzo",http://viaf.org/viaf/53993474,M,Cuba,1826,1867
"Luceño, Tomás",http://viaf.org/viaf/14342364,M,España,1844,1933
"Luchichí, Ignacio Miguel",http://www.elem.mx/autor/datos/3079,M,México,1859,1918
"Lucio, Gabriel","https://viaf.org/viaf/101564816/#Lucio,_G._(Gabriel)",NA,NA,NA,NA
"Luco, Victor",http://viaf.org/viaf/82146822474707381286,M,NA,NA,NA
"Lucretius Carus, Titus",http://viaf.org/viaf/106388020,M,Italia,-97,-55
"Luelmo, José María",https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Luelmo,M,España,1907,1991
"Lufríu y Alonso, René",http://viaf.org/viaf/26893801,M,Cuba,1889,1943
"Lugo-Viña, Ruy de",http://viaf.org/viaf/89188933,M,Cuba,1888,1938
"Lugo, Américo",http://viaf.org/viaf/23479628,M,República Dominicana,1870,1952
"Lugo, Francisco Aniceto",http://viaf.org/viaf/63131686,M,Venezuela,NA,NA
"Lugones, Leopoldo",http://viaf.org/viaf/54160474,M,Argentina,1874,1938
Luís Amado Carballo,http://worldcat.org/identities/lccn-n98048191/,M,España,1901,1927
"Luisi, Luisa",http://viaf.org/viaf/58951799,F,Uruguay,1883,1940
"Luna, Adolfo",http://viaf.org/viaf/315538178,M,España,1871,1902
"Luna, José Ramón",http://viaf.org/viaf/120166193,M,Argentina,1902,1966
"Lunacharsky, Anatoly Vasilievich",http://viaf.org/viaf/74003029,M,Rusia,1875,1933
"Luque, Tomás",https://cordobapedia.wikanda.es/wiki/Tom%C3%A1s_Luque_Moyano,M,España,1897,1968
"Luquín Romo, Eduardo",https://www.centrolombardo.edu.mx/eduardo-luquin-romo/,M,México,1896,1971
"Lustonó, Eduardo de",http://viaf.org/viaf/87043819,M,España,1849,1906
"Luxemburg, Rosa",http://viaf.org/viaf/51749376,F,Alemania,1871,1919
"Luz Morales, María",http://viaf.org/viaf/86534850,F,España,1899,1980
"Luz, Fábio",http://viaf.org/viaf/19234668,M,Brasil,1864,1938
"Luzuriaga, Lorenzo",http://viaf.org/viaf/13106980,M,España,1889,1959
"Lynch del Solar, Enrique",https://es.wikipedia.org/wiki/Enrique_Lynch_del_Solar,M,Chile,1863,1936
"Lynch, Albert",http://viaf.org/viaf/95799141,M,Alemania,1851,1912
"Lynch, Benito",http://viaf.org/viaf/74653227,M,Argentina,1880,1951
"Lyr, René",http://viaf.org/viaf/2548079,M,Bélgica,1887,1957
"Maâkovskij, Vladimir Vladimirovic",http://viaf.org/viaf/24611716,M,Rusia,1893,1930
"Mabire, Pierre-Hippolyte",http://viaf.org/viaf/89176144,M,Francia,1804,1884
"Mac-Orlan, Pierre",http://viaf.org/viaf/4925227,M,Francia,1882,1970
"Macdougall, William Brown",http://viaf.org/viaf/295919718,M,Reino Unido,1868,1936
"Maceín, Francisco",http://viaf.org/viaf/2846073,M,España,1862,1903
"Machado, Antonio",http://viaf.org/viaf/7385547,M,España,1875,1939
"Machado, Gilka",http://viaf.org/viaf/18901698,F,Brasil,1893,1980
"Machado, Manuel",http://viaf.org/viaf/34524742,M,España,1874,1947
"Macho, Victorio","https://viaf.org/viaf/50027021/#Macho_Rogado,_Victorio_1887-1966",M,España,1887,1966
"Macià, Francesc",http://viaf.org/viaf/50021290,M,España,1859,1933
"MacNeil, Hermon Atkins",http://viaf.org/viaf/23221350,M,Estados Unidos,1866,1947
"Madariaga, Federico de",http://viaf.org/viaf/87094284,M,España,1846,1927
"Madariaga, Salvador de",http://viaf.org/viaf/27077829,M,España,1886,1978
"Madeira, Antonio",http://viaf.org/viaf/73085017,M,Portugal,1896,1976
Maese Pedro,http://viaf.org/viaf/67311815,M,España,1503,1580
"Maestri, Raúl",http://viaf.org/viaf/58717575,M,Cuba,1908,1973
"Maeterlinck, Maurice",http://viaf.org/viaf/2473791,M,Bélgica,1862,1949
"Maeztu, Ramiro de",http://viaf.org/viaf/34495436,M,España,1875,1936
"Magallanes Moure, Manuel",http://viaf.org/viaf/1549102,M,Chile,1878,1924
"Magaña, Mardonio",http://viaf.org/viaf/60197485,M,México,1865,1947
"Magritte, René",http://viaf.org/viaf/69008939,M,Bélgica,1898,1967
"Magyar, Lajos",http://viaf.org/viaf/26156279,M,Rusia,1891,1940
"Maillol, Aristide",http://viaf.org/viaf/14228,M,Francia,1861,1944
"Mailly, Louis de",http://viaf.org/viaf/54150959,M,Francia,1657,1724
"Malanca, José",http://viaf.org/viaf/316437258,M,Argentina,1897,1967
"Malaparte, Curzio",http://viaf.org/viaf/59086066,M,Italia,1898,1957
"Malatesta, Errico",http://viaf.org/viaf/41843462,M,Italia,1853,1932
"Maldonado Bomati, Luis",http://viaf.org/viaf/1146284396415332102,M,España,1902,1936
