"Revista","NumContribucion","Titulo","Fasciculo","Fecha","Fecha.ISO","Colaborador","SeudonimoFirma","Rol","Sexo","PaisOrigen","Nacimiento","Muerte","Traduccion","Traductor","Lengua","LenguaOriginal","Tipo","TipoIndice","Dedicatoria","ObrasResenadas","CantitadPaginas","Paginacion"
"Alpha","48","Rayo de sol","Año I. Número 4","junio de 1906","1906-06-01","Montoya Pérez, Rafael",NA,"Creador","M","Colombia","1883",NA,"No",NA,"Español",NA,"Prosa Ficción",NA,"Ismael Peña",NA,2,"158-160"
"Alpha","49","La tierra ""maternal""","Año I. Número 4","junio de 1906","1906-06-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,2,"161-162"
"Alpha","50","El espectro","Año I. Número 4","junio de 1906","1906-06-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,1,"163"
"Alpha","51","Arte nacional","Año I. Número 4","junio de 1906","1906-06-01","Anónimo",NA,"Crítico",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.6,"164"
"Alpha","52","Centro Artístico","Año I. Número 4","junio de 1906","1906-06-01","Anónimo",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.1,"164"
"Alpha","53","Publicaciones recibidas","Año I. Número 4","junio de 1906","1906-06-01","Anónimo",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.3,"164"
"Alpha","54","Entrañas de niño II","Año I. Número 5-6","julio de 1906","1906-07-01","Carrasquilla, Tomás",NA,"Creador","M","Colombia","1858","1940","No",NA,"Español",NA,"Prosa Ficción","Novela",NA,NA,11,"165-176"
"Alpha","55a","Concursos de 1906. Informe del jurado calificador","Año I. Número 5-6","julio de 1906","1906-07-01","Cano Gutiérrez, Fidel",NA,"Creador","M","Colombia","1854","1919","No",NA,"Español",NA,"Prosa No Ficción","Informe",NA,NA,8,"177-185"
"Alpha","55b","Concursos de 1906. Informe del jurado calificador","Año I. Número 5-6","julio de 1906","1906-07-01","Hoyos, Sebastián",NA,"Creador","M","Colombia","1849","1907","No",NA,"Español",NA,"Prosa No Ficción","Informe",NA,NA,8,"177-185"
"Alpha","55c","Concursos de 1906. Informe del jurado calificador","Año I. Número 5-6","julio de 1906","1906-07-01","Betancourt Villegas, Félix",NA,"Creador","M","Colombia","1872","1948","No",NA,"Español",NA,"Prosa No Ficción","Informe",NA,NA,8,"177-185"
"Alpha","56","Baldosas y terrones","Año I. Número 5-6","julio de 1906","1906-07-01","Cruz, Jorge de la",NA,"Creador","M","Colombia","1904","1952","No",NA,"Español",NA,"Prosa Ficción",NA,NA,NA,8,"186-204"
"Alpha","57","Sendero de llanto","Año I. Número 5-6","julio de 1906","1906-07-01","Cano, Antonio José",NA,"Creador","M","Colombia","1874","1942","No",NA,"Español",NA,"Poesía",NA,"Cano, Francisco A",NA,1,"205"
"Alpha","58","La oveja descarriada","Año I. Número 5-6","julio de 1906","1906-07-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción",NA,"Olano, Ricardo, fundador de ALPHA",NA,25,"206-231"
"Alpha","59","Anima","Año I. Número 5-6","julio de 1906","1906-07-01","Cruz, Efraím de la",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Poesía",NA,"Cano, Luis",NA,2,"232-233"
"Alpha","60","Carta","Año I. Número 5-6","julio de 1906","1906-07-01","Villegas, Luis Eduardo",NA,"Creador","M","Colombia","1848","1915","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,3,"234-237"
"Alpha","61","Conmociones terrestres","Año I. Número 5-6","julio de 1906","1906-07-01","Jaramillo MTZ, José María","J. M.ª. J. MTZ.","Creador",NA,NA,NA,NA,"Sí","J. M. J. MTZ","Español","Inglés","Prosa No Ficción","Notas editoriales",NA,NA,2.5,"238-241"
"Alpha","62","M. Curie","Año I. Número 5-6","julio de 1906","1906-07-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,2,"241-243"
"Alpha","63","""Homo sapiens.""","Año I. Número 5-6","julio de 1906","1906-07-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,1,"243-244"
"Alpha","64","Centro Artístico","Año I. Número 5-6","julio de 1906","1906-07-01","Anónimo",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.5,"244"
"Alpha","65","Entrañas de niño III","Año I. Número 7","agosto de 1906","1906-08-01","Carrasquilla, Tomás",NA,"Creador","M","Colombia","1858","1940","No",NA,"Español",NA,"Prosa Ficción","Novela",NA,NA,10,"245-255"
"Alpha","66","Sucesos de todos los días","Año I. Número 7","agosto de 1906","1906-08-01","Cano, Luis",NA,"Creador","M","Colombia","1885","1950","No",NA,"Español",NA,"Poesía",NA,"Carrasquilla, Tomás",NA,1,"256"
"Alpha","67","Martín Rua","Año I. Número 7","agosto de 1906","1906-08-01","Vélez Barrientos, Lucrecio","Chaverra, Gaspar","Creador","M","Colombia","1850","1925","No",NA,"Español",NA,"Prosa Ficción","Cuento","Echavarría, Pablo",NA,9,"257-266"
"Alpha","68","¿…...","Año I. Número 7","agosto de 1906","1906-08-01","Marín, Abel",NA,"Creador","M","Colombia","1888","1950","No",NA,"Español",NA,"Prosa Ficción",NA,"Moya, Rodríguez",NA,1,"267"
"Alpha","69","La felicidad de las sociedades humanas","Año I. Número 7","agosto de 1906","1906-08-01","Novicow, F.","F. Novicow","Creador","M","Francia","1849","1912","Sí","Anónimo","Español",NA,"Prosa Ficción",NA,NA,NA,7,"268-275"
"Alpha","70","La araña de los jardines.( Versión de una leyenda bretona)","Año I. Número 7","agosto de 1906","1906-08-01","Velásquez García, José","Vives Guerra, Julio","Creador","M","Colombia","1873","1950","No",NA,"Español",NA,"Poesía",NA,"Quirós, José Manuel",NA,2,"276-277"
"Alpha","71","Un animal canta","Año I. Número 7","agosto de 1906","1906-08-01","Villegas, Aquilino",NA,"Creador","M","Colombia","1880","1940","No",NA,"Español",NA,"Prosa Ficción",NA,"Restrepo, Saturnino",NA,2,"278-279"
"Alpha","72","Carta","Año I. Número 7","agosto de 1906","1906-08-01","Carrasquilla, Tomás",NA,"Creador","M","Colombia","1858","1940","No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,1.5,"280-282"
"Alpha","73","Instituto Isaacs","Año I. Número 7","agosto de 1906","1906-08-01","Botero Guerra, Camilo",NA,"Creador","M","Colombia","1853","1942","No",NA,"Español",NA,"Prosa Ficción","Notas",NA,NA,1,"282-283"
"Alpha","74","Tercer certamen industrial","Año I. Número 7","agosto de 1906","1906-08-01","Anónimo","Alpha","Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,1,"283-284"
"Alpha","75","Homilia N°. 2°. En contestación y acatamiento al hermano Max Grillo","Año I. Número 8-9","septiembre de 1906","1906-09-01","Carrasquilla, Tomás",NA,"Creador","M","Colombia","1858","1940","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,28.5,"285-314"
"Alpha","76","¡Oh madre!","Año I. Número 8-9","septiembre de 1906","1906-09-01","Jaramillo, Bernardo",NA,"Creador","M","Colombia","1884","1952","No",NA,"Español",NA,"Poesía",NA,NA,NA,1,"315"
"Alpha","77","Estudios prehistóricos","Año I. Número 8-9","septiembre de 1906","1906-09-01","Carrasquilla L., Juan de Dios",NA,"Creador","M","Colombia","1833","1908","No",NA,"Español",NA,"Prosa No Ficción","Artículos",NA,NA,7.5,"316-324"
"Alpha","78","Entrañas de niño IV","Año I. Número 8-9","septiembre de 1906","1906-09-01","Carrasquilla, Tomás",NA,"Creador","M","Colombia","1858","1940","No",NA,"Español",NA,"Prosa Ficción","Novela",NA,NA,7.5,"325-333"
"Alpha","79","El silencio","Año I. Número 8-9","septiembre de 1906","1906-09-01","Ospina Vásquez, Mariano","Moi","Creador","M","Colombia","1869","1941","No",NA,"Español",NA,"Poesía",NA,NA,NA,0.5,"333"
"Alpha","80","Nobleza obliga. I. El león","Año I. Número 8-9","septiembre de 1906","1906-09-01","Gaviria, José A.","Gaviria, J.A., Nápoles","Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa Ficción",NA,NA,NA,21,"334-355"
"Alpha","81","Epílogo. De Lamus, Rincón & C.","Año I. Número 8-9","septiembre de 1906","1906-09-01","Gaviria, José A.",NA,"Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa Ficción",NA,NA,NA,1,"356"
"Alpha","82","Sr. D. Arcesio Aragón","Año I. Número 8-9","septiembre de 1906","1906-09-01","Sanín Cano, Baldomero",NA,"Crítico","M","Colombia","1861","1957","No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,6,"356-363"
"Alpha","83","7 de agosto","Año I. Número 8-9","septiembre de 1906","1906-09-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,1,"363-364"
"Alpha","84","""Obscuro y claro""","Año I. Número 8-9","septiembre de 1906","1906-09-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,2,"364-366"
"Alpha","85","Pax vobis","Año I. Número 8-9","septiembre de 1906","1906-09-01","Restrepo, Saturnino",NA,"Crítico","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,2,"266-268"
"Alpha","86","Del ""Viaje al Putumayo"" (Capítulo de un libro inédito)","Año I. Número 10","octubre de 1906","1906-10-01","Triana, Miguel",NA,"Creador","M","Colombia","1859","1931","No",NA,"Español",NA,"Prosa Ficción","Capítulo de libro",NA,NA,4,"269-373"
"Alpha","87","Las hormigas","Año I. Número 10","octubre de 1906","1906-10-01","Jaramillo P., Escipión",NA,"Creador","M","Colombia",NA,"1940","No",NA,"Español",NA,"Poesía",NA,NA,NA,2,"374-375"
"Alpha","88","Entrañas de niño. V","Año I. Número 10","octubre de 1906","1906-10-01","Carrasquilla, Tomás",NA,"Creador","M","Colombia","1858","1940","No",NA,"Español",NA,"Prosa Ficción","Novela",NA,NA,17,"376-393"
"Alpha","89","6 de mayo","Año I. Número 10","octubre de 1906","1906-10-01","Restrepo Restrepo, Antonio María","AB. Farina","Creador","M","Colombia","1875","1921","No",NA,"Español",NA,"Poesía",NA,NA,NA,2,"394-396"
"Alpha","90","En los témpanos","Año I. Número 10","octubre de 1906","1906-10-01","Gartner, Hugo",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa Ficción",NA,"Alpha",NA,2.5,"397-399"
"Alpha","91","Divagación","Año I. Número 10","octubre de 1906","1906-10-01","Carvajal, Manuel Antonio","M.A. Carvajal","Creador","M","Colombia","1886","1942","No",NA,"Español",NA,"Poesía",NA,NA,NA,0.5,"399"
"Alpha","92","El primer personaje","Año I. Número 10","octubre de 1906","1906-10-01","Restrepo Restrepo, Carlos Eugenio","Restrepo, C.E","Creador","M","Colombia","1867","1937","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,1.5,"400-401"
"Alpha","93","La indiferente","Año I. Número 10","octubre de 1906","1906-10-01","Jaloux, Edmond",NA,"Creador","M","Francia","1878","1949","Sí","Anónimo","Español","Francés","Prosa Ficción",NA,NA,NA,2,"402-404"
"Alpha","94","Prosas líricas","Año I. Número 10","octubre de 1906","1906-10-01","Restrepo, Saturnino",NA,"Crítico","M","Colombia","1877","1961","No",NA,"Español",NA,"Reseña","Notas",NA,"Prosas Líricas de Rodríguez Moya",2,"405-406"
"Alpha","95","A propósito de Dreyfus","Año I. Número 10","octubre de 1906","1906-10-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,1.6,"407-408"
"Alpha","96","Trofeos","Año I. Número 10","octubre de 1906","1906-10-01","Anónimo",NA,"Reseñista",NA,NA,NA,NA,"No",NA,"Español",NA,"Reseña de revista","Notas",NA,NA,0.4,"408"
"Alpha","97","Entrañas de niño. VIII","Año I. Número 11","noviembre de 1906","1906-11-01","Carrasquilla, Tomás",NA,"Creador","M","Colombia","1858","1940","No",NA,"Español",NA,"Prosa Ficción","Novela",NA,NA,16.5,"409-426"
"Alpha","98","Pasas…","Año I. Número 11","noviembre de 1906","1906-11-01","Ospina Vásquez, Mariano","Moi","Creador","M","Colombia","1869","1941","No",NA,"Español",NA,"Poesía",NA,NA,NA,0.4,"426"
"Alpha","99","Capítulo de un libro inédito","Año I. Número 11","noviembre de 1906","1906-11-01","Triana, Miguel",NA,"Creador","M","Colombia","1859","1931","No",NA,"Español",NA,"Prosa Ficción","Capítulo de libro",NA,NA,5.3,"427-433"
"Alpha","100","Paisaje de aldea","Año I. Número 11","noviembre de 1906","1906-11-01","Carvajal, Manuel Antonio","M.A. Carvajal","Creador","M","Colombia","1886","1942","No",NA,"Español",NA,"Poesía",NA,NA,NA,0.7,"433"
"Alpha","101","Riqueza filológica","Año I. Número 11","octubre de 1906","1906-10-01","Ospina Vásquez, Tulio","Tulio Ospina","Creador","M","Colombia","1857","1921","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,3,"434-437"
"Alpha","102","Sucesos de todos los días","Año I. Número 11","octubre de 1906","1906-10-01","Cano, Luis",NA,"Creador","M","Colombia","1885","1950","No",NA,"Español",NA,"Poesía",NA,NA,NA,1,"438"
"Alpha","103","El terremoto en California","Año I. Número 11","octubre de 1906","1906-10-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","Sí","Anónimo","Español","Inglés","Prosa No Ficción",NA,NA,NA,3,"439-442"
"Alpha","104","Zolá en el Panteón","Año I. Número 11","octubre de 1906","1906-10-01","Restrepo, Saturnino",NA,"Crítico","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,3,"443-445"
"Alpha","105","La luna","Año I. Número 11","octubre de 1906","1906-10-01","Restrepo, Saturnino",NA,"Crítico","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,1.7,"446-447"
"Alpha","106","""El correo del Valle""","Año I. Número 11","octubre de 1906","1906-10-01","Anónimo",NA,"Reseñista",NA,NA,NA,NA,"No",NA,"Español",NA,"Reseña de revista","Notas",NA,NA,0.8,"447-448"
"Alpha","107","Camilo Arturo Escobar","Año I. Número 11","octubre de 1906","1906-10-01","Anónimo","Alpha","Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,0.3,"448"
"Alpha","108","Del programa","Año I. Número 11","octubre de 1906","1906-10-01","Anónimo",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas",NA,NA,0.2,"448"
